pems_id	abs_pm	lat	lon
400662	16.447	37.5223526785	-121.9871843811
400141	16.597	37.5235000106	-121.9895050222
400490	17.587	37.5312559705	-122.0046932403
401888	18.657	37.5415595739	-122.0188666764
400137	19.057	37.5465202336	-122.0226227517
400716	19.257	37.549010966	-122.024483287
401545	20.127	37.5592204412	-122.0337036992
401011	20.507	37.5634146314	-122.0381905261
400674	20.717	37.5657328882	-122.040669153
400539	21.277	37.5725319284	-122.0460420603
400534	21.887	37.5810376259	-122.0490256872
401062	22.227	37.5855315327	-122.0515438422
401529	22.527	37.5893619773	-122.054139899
401613	22.777	37.5924981461	-122.0563837652
400536	23.367	37.5999391856	-122.0616799399
400488	24.007	37.6079973568	-122.0674407214
401561	24.477	37.6139228819	-122.0716583694
400611	24.917	37.6194604722	-122.0756259511
400928	25.177	37.6227423463	-122.0779505305
400284	25.767	37.6301718049	-122.0832665236
400041	26.027	37.6334459428	-122.0856090946
400419	26.287	37.6367195147	-122.0879512462
400165	26.467	37.6389907051	-122.0895636306
400640	26.677	37.641715	-122.091489
400780	27.167	37.647899	-122.095859
400086	27.337	37.6499668598	-122.0973519624
400685	27.707	37.6547649125	-122.1003521207
