pems_id	abs_pm	lat	lon
400321	28.047	37.6591279145	-122.1032962366
401475	27.707	37.6547116737	-122.1005510361
400256	27.337	37.6499032476	-122.0975678436
400427	27.037	37.6461156905	-122.0949195689
400352	26.677	37.641602	-122.091709
400035	26.467	37.6389244805	-122.0897841899
400277	26.287	37.6366595255	-122.0881569406
400634	26.027	37.6333836516	-122.0858178356
400681	25.727	37.6296062153	-122.0831149228
400038	25.177	37.6226677365	-122.0781773239
401450	24.767	37.6174952918	-122.074494051
401240	24.477	37.6138507539	-122.0718724075
401716	24.007	37.6079235636	-122.067658724
400006	23.767	37.6049022309	-122.0654898064
400853	23.327	37.5993581814	-122.0615317522
400067	23.167	37.5973365761	-122.0601028319
401614	22.777	37.5924254221	-122.0565934032
401038	22.527	37.5892682434	-122.054381766
401073	22.227	37.5854989883	-122.0517003692
400839	21.817	37.5800030184	-122.048863746
400565	21.647	37.5776326414	-122.0480265779
400186	21.277	37.5723617959	-122.0462189146
400686	20.547	37.5637704569	-122.0389024612
400451	20.347	37.561558285	-122.0365464382
401557	20.127	37.5591384157	-122.0339722755
400248	19.097	37.5469329422	-122.0232249175
400810	18.907	37.5445728949	-122.0214516161
401362	17.527	37.5306693027	-122.0040426226
400576	17.337	37.5291018253	-122.0011931317
400778	16.517	37.5227912564	-121.9885170531
400468	16.327	37.5213285596	-121.9855871193
