"fk_pems_id"	"unixtime"	"flows1"	"flows2"	"flows3"	"flows4"	"flows5"	"occs1"	"occs2"	"occs3"	"occs4"	"occs5"	"est_vel_kmh1"	"est_vel_kmh2"	"est_vel_kmh3"	"est_vel_kmh4"	"est_vel_kmh5"	"avg_vel_kmh"	"traffic"
400041	1202522100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Ruim"
400716	1202521410	12	0	10	16	0	0.1333	0	0.2656	0.2922	0	39.9699924981	0	16.7168674699	24.3121149897	0	16.1997949915	"Ruim"
401062	1202512770	0	0	7	2	0	0	0	0.4467	0.8256	0	0	0	6.9576897246	1.0755813953	0	1.606654224	"Ruim"
401062	1202516910	0	0	4	7	0	0	0	0.6633	0.4417	0	0	0	2.6775214835	7.0364500792	0	1.9427943125	"Ruim"
401062	1202514060	0	0	7	5	0	0	0	0.5094	0.6044	0	0	0	6.1012956419	3.6730641959	0	1.9548719676	"Ruim"
401062	1202513760	0	0	3	9	0	0	0	0.6683	0.5033	0	0	0	1.9931168637	7.9395986489	0	1.9865431025	"Ruim"
401062	1202510970	0	0	8	6	0	0	0	0.4967	0.5044	0	0	0	7.1511979062	5.2815226011	0	2.4865441015	"Ruim"
401062	1202511000	0	0	8	6	0	0	0	0.4967	0.5044	0	0	0	7.1511979062	5.2815226011	0	2.4865441015	"Ruim"
401062	1202512830	0	0	6	6	0	0	0	0.3683	0.5011	0	0	0	7.2332337768	5.3163041309	0	2.5099075815	"Ruim"
401062	1202513730	0	0	9	7	0	0	0	0.4594	0.7044	0	0	0	8.6983021332	4.4122657581	0	2.6221135783	"Ruim"
400611	1202496210	7	6	2	3	0	0.5306	0.5744	0.6217	0.7328	0	5.8575197889	4.6378830084	1.4283416439	1.8176855895	0	2.7482860061	"Ruim"
401062	1202512800	0	0	9	5	0	0	0	0.3839	0.5567	0	0	0	10.4089606668	3.9877851626	0	2.8793491659	"Ruim"
400611	1202496180	4	5	1	7	0	0.6122	0.4794	0.34	0.5411	0	2.9010127409	4.6307884856	1.3058823529	5.74385511	0	2.9163077379	"Ruim"
400611	1202496150	4	6	5	4	0	0.6728	0.55	0.5739	0.3572	0	2.6397146254	4.8436363636	3.8682697334	4.9720044793	0	3.2647250404	"Ruim"
401062	1202519400	0	0	10	9	0	0	0	0.4278	0.6539	0	0	0	10.3786816269	6.1110261508	0	3.2979415555	"Ruim"
400611	1202497290	8	8	3	2	0	0.5128	0.5667	0.8167	0.5083	0	6.9266770671	6.2678665961	1.6309538386	1.7469998033	0	3.314499461	"Ruim"
401062	1202515650	0	0	8	8	0	0	0	0.4867	0.3811	0	0	0	7.2981302651	9.3203883495	0	3.3237037229	"Ruim"
401062	1202515680	0	0	8	8	0	0	0	0.4867	0.3811	0	0	0	7.2981302651	9.3203883495	0	3.3237037229	"Ruim"
400928	1202496810	8	7	3	2	6	0.4722	0.4989	0.6828	0.8656	0.1178	7.5222363405	6.2297053518	1.9507908612	1.0258780037	22.6146010187	7.8686423152	"Ruim"
400041	1202496540	5	8	4	2	0	0.6667	0.39	0.5839	0.6961	0	3.3298335083	9.1076923077	3.0416167152	1.2756787818	0	3.3509642626	"Ruim"
400041	1202496990	9	7	1	1	0	0.4733	0.4339	0.6678	0.8211	0	8.4428480879	7.1629407698	0.6648697215	0.5407380343	0	3.3622793227	"Ruim"
400488	1202510940	5	4	3	5	8	0.5678	0.3239	0.7511	0.3906	0.3267	3.909827404	5.4831738191	1.7733990148	5.6835637481	10.8723599633	5.5444647898	"Ruim"
400928	1202496060	5	5	1	3	7	0.3128	0.5667	0.0967	0.6656	0.45	7.0971867008	3.9174166226	4.5915201655	2.0012019231	6.9066666667	4.9027984157	"Ruim"
400611	1202496990	4	4	4	7	0	0.3106	0.7078	0.5633	0.4383	0	5.7179652286	2.5091833851	3.152849281	7.0910335387	0	3.6942062867	"Ruim"
401062	1202514090	0	0	8	8	0	0	0	0.3294	0.4606	0	0	0	10.7832422587	7.7116804168	0	3.6989845351	"Ruim"
400488	1202497500	8	5	3	1	0	0.3989	0.5444	0.5917	0.1206	0.0722	8.9044873402	4.0778839089	2.2511407808	3.6815920398	0	3.7830208139	"Ruim"
400488	1202497170	8	7	2	2	2	0.3278	0.5456	0.7594	0.7228	0.4161	10.8358755339	5.6964809384	1.1693442191	1.228555617	2.1341023792	4.2128717375	"Ruim"
400928	1202496090	7	8	0	2	2	0.3239	0.4244	0	0.8022	0.3828	9.5955541834	8.369462771	0	1.1069558714	2.3197492163	4.2783444084	"Ruim"
